MeshID	DrugBankIDs
MESH:C017014	DB01419
MESH:C545357	DB12326
MESH:C583752	DB12136
MESH:C000628794	DB12000
MESH:C572045	DB11901
MESH:C553458	DB14765
MESH:C000595177	DB06094
MESH:C060817	DB12593
MESH:D001032	DB07402
MESH:C000617192	DB05166
MESH:C544126	DB05227
MESH:C521531	DB12658
MESH:D047310	DB07352
MESH:C522181	DB06605
MESH:C499671	DB06497
MESH:C104057	DB04629
MESH:C091451	DB07641
MESH:C407151	DB12276
MESH:D001058	DB00714
MESH:C016986	DB00964
MESH:C011666	DB04626
MESH:C484302	DB13020
MESH:C505730	DB05676
MESH:D000077608	DB00673
MESH:C508042	DB12855
MESH:C514354	DB12378
MESH:D001073	DB01429
MESH:C572762	DB15059
MESH:C005700	DB13221
MESH:C097277	DB04092
MESH:C037604	DB09305
MESH:C094428	DB04975
MESH:D016718	DB04557
MESH:C455117	DB11860
MESH:C059427	DB09229
MESH:C543531	DB08892
MESH:C031986	DB06696
MESH:C086979	DB13609
MESH:C076559	DB01102
MESH:D001104	DB11217
MESH:C094417	DB03646
MESH:D001115	DB04365
MESH:C419444	DB04350
MESH:C555574	DB14310
MESH:C031942	DB00278
MESH:C413566	DB03632
MESH:D001120	DB00125
MESH:C024362	DB13207
MESH:D001125	DB02267
MESH:C506540	DB11981
MESH:C000593473	DB11811
MESH:C486387	DB05025
MESH:D000068180	DB01238
MESH:C000603935	DB14185
MESH:C024523	DB09204
MESH:C551661	DB12200
MESH:D001147	DB03006
MESH:D000077237	DB01169
MESH:C032793	DB04456
MESH:C546471	DB08928
MESH:C558165	DB11809
MESH:D000077549	DB06697
MESH:C031327	DB13132
MESH:C055141	DB13851
MESH:C488532	DB01934
MESH:D001205	DB00126|DB14482|DB14484|DB14490
MESH:C065378	DB11335
MESH:C522667	DB06216
MESH:C017032	DB14054
MESH:C004446	DB14081
MESH:C092095	DB05104
MESH:C488516	DB06680
MESH:C568714	DB11701
MESH:D001216	DB00174
MESH:D001218	DB00168
MESH:D001224	DB00128|DB13359
MESH:C006644	DB04498
MESH:C526103	DB14940
MESH:D001241	DB00945
MESH:C037485	DB13816
MESH:C005948	DB06543
MESH:D016589	DB00637
MESH:C571889	DB11586
MESH:C000634126	DB15307
MESH:C515878	DB05016
MESH:C048751	DB12194
MESH:D000069446	DB01072
MESH:D001262	DB00335
MESH:C076632	DB12264
MESH:C517618	DB05542
MESH:C050701	DB11481
MESH:C431129	DB05191
MESH:D000069445	DB00289
MESH:D000069059	DB01076
MESH:C047046	DB09059
MESH:D053626	DB01117
MESH:C058278	DB04631
MESH:D001279	DB00732|DB13295
MESH:D000077868	DB06199
MESH:C096921	DB12758
MESH:D009320	DB15591
MESH:D001285	DB00572
MESH:C026325	DB01574
MESH:D001310	DB00995
MESH:C071398	DB14058
MESH:D000899	DB04124
MESH:D006051	DB09121
MESH:C013394	DB13763
MESH:C034402	DB07394
MESH:C000620232	DB15011
MESH:C553414	DB06237
MESH:C423185	DB06442
MESH:C533238	DB11995
MESH:C479877	DB06604
MESH:C574990	DB06318
MESH:C543519	DB09060
MESH:C006653	DB11375
MESH:C438273	DB06260
MESH:C526922	DB05500
MESH:C049935	DB09495
MESH:C000629083	DB13915
MESH:D000077784	DB06626
MESH:D001374	DB00928
MESH:D001375	DB01667
MESH:C023624	DB13350
MESH:D001376	DB11376
MESH:C004448	DB13727
MESH:C099015	DB05513
MESH:C006656	DB00719
MESH:D001379	DB00993
MESH:C000630721	DB13088
MESH:C000599190	DB12817
MESH:C545606	DB12588
MESH:C573579	DB12576
MESH:C530645	DB04893
MESH:C546512	DB12002
MESH:C517975	DB11689
MESH:C585977	DB11889
MESH:C548875	DB12183
MESH:C010038	DB00548
MESH:C020976	DB00972
MESH:C000655744	DB12689
MESH:C061679	DB09230
MESH:C004450	DB13294
MESH:C100243	DB08795
MESH:C557413	DB08822
MESH:C086123	DB04957
MESH:C011673	DB13992
MESH:D017963	DB00207
MESH:D001390	DB01061
MESH:C018222	DB08961
MESH:D001398	DB00355
MESH:C011674	DB01602
MESH:D001414	DB00626
MESH:D001418	DB00181
MESH:C506918	DB11851
MESH:C040929	DB06733
MESH:C052501	DB06734
MESH:C497232	DB12781
MESH:C530825	DB05060|DB12283
MESH:C087127	DB04111
MESH:C529767	DB12239
MESH:C000624271	DB15370
MESH:C000628402	DB13997
MESH:C038637	DB01014
MESH:C000600093	DB12699
MESH:D001455	DB11377
MESH:C047766	DB01408
MESH:C084810	DB13206
MESH:C416424	DB08857
MESH:C006683	DB13203
MESH:C020867	DB13489
MESH:C092487	DB08570
MESH:C011019	DB09001
MESH:D001462	DB01483
MESH:C000596027	DB11817
MESH:D001464	DB12481
MESH:D001466	DB11150
MESH:C517339	DB12292
MESH:C588122	DB12526
MESH:C080985	DB03880
MESH:C057924	DB12804
MESH:D012103	DB09005
MESH:C574166	DB12299
MESH:C113281	DB06276
MESH:C447119	DB06401
MESH:C425109	DB04368
MESH:D001500	DB12768
MESH:D000077214	DB00102
MESH:C093269	DB06362
MESH:C011676	DB09011
MESH:D001507	DB00394
MESH:C065857	DB14221
MESH:C493870	DB08903
MESH:C425888	DB05590
MESH:C038228	DB11600
